Date,Open,High,Low,Close,Adj Close,Volume
2023-01-20,40220.000000,40500.000000,40220.000000,40280.000000,39179.914063,1673
2023-01-23,40280.000000,40280.000000,40280.000000,40280.000000,39179.914063,1216
2023-01-24,39500.000000,40000.000000,39500.000000,40000.000000,38907.562500,15970
2023-01-25,39210.000000,40000.000000,39210.000000,40000.000000,38907.562500,9200
2023-01-26,39220.000000,39900.000000,39210.000000,39900.000000,38810.292969,13233
2023-01-27,39900.000000,39900.000000,39850.000000,39850.000000,38761.656250,5940
2023-01-30,39300.000000,39300.000000,39020.000000,39020.000000,37954.324219,5453
2023-01-31,39000.000000,40900.000000,38900.000000,40900.000000,39782.980469,51440
2023-02-01,41000.000000,41000.000000,41000.000000,41000.000000,39880.250000,5637
2023-02-02,40000.000000,40000.000000,39900.000000,39900.000000,38810.292969,7462
2023-02-03,39100.000000,39200.000000,39000.000000,39000.000000,37934.871094,6343
2023-02-06,39000.000000,39000.000000,38550.000000,39000.000000,37934.871094,10464
2023-02-07,37200.000000,39700.000000,37200.000000,39700.000000,38615.750000,11198
2023-02-08,38600.000000,38990.000000,38500.000000,38500.000000,37448.527344,17561
2023-02-09,39000.000000,39560.000000,39000.000000,39560.000000,38479.578125,5692
2023-02-10,39300.000000,39300.000000,38500.000000,39000.000000,37934.871094,6887
2023-02-13,38520.000000,38700.000000,38500.000000,38500.000000,37448.527344,15830
2023-02-14,38790.000000,40970.000000,37700.000000,40970.000000,39851.066406,20247
2023-02-15,38600.000000,40000.000000,38600.000000,39500.000000,38421.214844,17977
2023-02-16,39500.000000,39900.000000,39500.000000,39900.000000,38810.292969,11573
2023-02-17,39890.000000,39890.000000,39500.000000,39800.000000,38713.023438,8654
2023-02-20,39870.000000,39870.000000,39800.000000,39800.000000,38713.023438,10411
2023-02-21,39800.000000,39800.000000,38540.000000,38550.000000,37497.160156,7744
2023-02-22,38020.000000,38020.000000,38020.000000,38020.000000,36981.636719,1877
2023-02-23,36606.261719,36606.261719,36606.261719,36606.261719,35606.507813,495
2023-02-24,36850.000000,37050.000000,36850.000000,36990.000000,35979.765625,22155
2023-02-27,37990.000000,38490.000000,36990.000000,36990.000000,35979.765625,17115
2023-02-28,36010.000000,36600.000000,36010.000000,36600.000000,35600.417969,30521
2023-03-01,35990.000000,35990.000000,35990.000000,35990.000000,35007.074219,7734
2023-03-02,36000.000000,36000.000000,33500.000000,34880.000000,33927.394531,72091
2023-03-03,31580.000000,35960.000000,31580.000000,35960.000000,34977.898438,25916
2023-03-06,35890.000000,36010.000000,35600.000000,35600.000000,34627.726563,14805
2023-03-07,33510.000000,34990.000000,33000.000000,33000.000000,32098.738281,43472
2023-03-08,34400.000000,34400.000000,33670.000000,33990.000000,33061.695313,313406
2023-03-09,34000.000000,34000.000000,33500.000000,33700.000000,32779.617188,22375
2023-03-10,null,null,null,null,null,null
2023-03-13,33490.000000,34000.000000,31850.000000,34000.000000,33071.425781,121123
2023-03-14,33500.000000,35800.000000,33500.000000,35800.000000,34822.265625,26240
2023-03-15,35800.000000,37000.000000,35000.000000,36530.000000,35532.328125,68856
2023-03-16,35000.000000,35000.000000,35000.000000,35000.000000,34044.117188,70231
2023-03-17,34710.000000,34710.000000,32970.000000,32970.000000,32069.556641,859288
2023-03-20,null,null,null,null,null,null
2023-03-21,32970.000000,36000.000000,32970.000000,36000.000000,35016.804688,3930863
2023-03-22,37000.000000,38760.000000,37000.000000,37490.000000,36466.109375,19873
2023-03-23,38200.000000,38200.000000,36100.000000,36100.000000,35114.074219,16617
2023-03-24,37500.000000,37500.000000,37500.000000,37500.000000,36475.839844,20415
2023-03-27,37700.000000,40000.000000,37500.000000,40000.000000,38907.562500,41190
2023-03-28,39200.000000,41000.000000,39100.000000,39500.000000,38421.214844,7009
2023-03-29,40000.000000,40400.000000,38780.000000,38790.000000,37730.605469,13469
2023-03-30,39990.000000,40000.000000,39100.000000,40000.000000,38907.562500,26835
2023-03-31,40000.000000,40500.000000,40000.000000,40450.000000,39345.269531,31423
2023-04-03,40450.000000,40450.000000,40000.000000,40000.000000,38907.562500,4843
2023-04-04,40880.000000,40890.000000,38330.000000,39960.000000,39182.109375,11666
2023-04-05,40400.000000,40420.000000,40400.000000,40420.000000,39633.156250,7452
2023-04-06,40420.000000,40420.000000,40420.000000,40420.000000,39633.156250,0
2023-04-07,40420.000000,40420.000000,40420.000000,40420.000000,39633.156250,0
2023-04-10,37820.000000,40000.000000,37810.000000,40000.000000,39221.332031,7409
2023-04-11,40000.000000,40300.000000,40000.000000,40140.000000,39358.605469,25510
2023-04-12,39010.000000,40290.000000,39010.000000,40290.000000,39505.687500,12094
2023-04-13,39130.000000,43000.000000,39000.000000,42000.000000,41182.398438,5764360
2023-04-14,41800.000000,42990.000000,41360.000000,42980.000000,42143.320313,0
2023-04-17,43500.000000,44000.000000,43000.000000,43000.000000,42162.929688,5730
2023-04-18,43000.000000,43000.000000,41920.000000,42870.000000,42035.460938,15710
2023-04-19,41182.039063,41182.039063,41182.039063,41182.039063,40380.359375,401
2023-04-20,40760.000000,42000.000000,40760.000000,42000.000000,41182.398438,16684
2023-04-21,40800.000000,40800.000000,40600.000000,40600.000000,39809.652344,2368
